;MaterialOld;MaterialNew;DescrizioneOld;GMD FDF ID old;Brand old;DescrizioneNew;GMD FDF ID new;Brand New
0;44010370;44010370;DOXAZOSINA SDZ 4MG 20TAB IT;109519;Sandoz;DOXAZOSINA SDZ 4MG 20TAB IT;109519;Sandoz
1;44016412;44010370;DOXAZOSINA SDZ 4MG 20TAB SM IT;109519;Sandoz;DOXAZOSINA SDZ 4MG 20TAB IT;109519;Sandoz
2;44012947;44012947;CALCIUM D3 SDZ 1G+880IU 30EFT IT;123744;Sandoz;CALCIUM D3 SDZ 1G+880IU 30EFT IT;123744;Sandoz
3;44014784;44012947;CALCIUM SDZ D3 1G+880IU 30EFT SM IT;118357;Sandoz;CALCIUM D3 SDZ 1G+880IU 30EFT IT;123744;Sandoz
4;44078385;44078385;MORESTRIL 40POS SA IT;141143;Sandoz;MORESTRIL 40POS SA IT;141143;Sandoz
5;44080333;44078385;MORESTRIL 40POS SA SM IT;141143;Sandoz;MORESTRIL 40POS SA IT;141143;Sandoz
6;44077408;44077408;FLORMIDABIL DAILY CAPSULE 10HGC IT;140863;Sandoz;FLORMIDABIL DAILY CAPSULE 10HGC IT;140863;Sandoz
7;44079609;44077408;FLORMIDABIL DAILY CAPSULE 10HGC SM IT;140863;Sandoz;FLORMIDABIL DAILY CAPSULE 10HGC IT;140863;Sandoz
8;44078477;44077408;EXPO FLORMIDABIL MONO 10HGC IT;140863;Sandoz;FLORMIDABIL DAILY CAPSULE 10HGC IT;140863;Sandoz
9;44076709;44076709;FLORMIDABIL STOP 6OGR IT;140788;Sandoz;FLORMIDABIL STOP 6OGR IT;140788;Sandoz
10;44079610;44076709;FLORMIDABIL STOP 6OGR BL SM IT;140788;Sandoz;FLORMIDABIL STOP 6OGR IT;140788;Sandoz
11;44082552;44076709;FLORMIDABIL STOP 6OGR BL IT;140788;Sandoz;FLORMIDABIL STOP 6OGR IT;140788;Sandoz
12;44076734;44076734;FLORMIDABIL ULTRA 10OGR IT;140789;Sandoz;FLORMIDABIL ULTRA 10OGR IT;140789;Sandoz
13;44082110;44076734;FLORMIDABIL ULTRA SACCHETTO 10OGR SA IT;140789;Sandoz;FLORMIDABIL ULTRA 10OGR IT;140789;Sandoz
14;44082120;44076734;EXPO FLORMIDABIL TERRA NUOVO 10OGR SA IT;140789;Sandoz;FLORMIDABIL ULTRA 10OGR IT;140789;Sandoz
15;44082130;44076734;EXPO RICARICA FLORMIDABIL 10OGR SA IT;140789;Sandoz;FLORMIDABIL ULTRA 10OGR IT;140789;Sandoz
16;44079604;44076734;FLORMIDABIL ULTRA 10OGR SA SM IT;140789;Sandoz;FLORMIDABIL ULTRA 10OGR IT;140789;Sandoz
17;44078479;44076734;EXPO FLORMIDABIL BANCO 10OGR SA IT;140789;Sandoz;FLORMIDABIL ULTRA 10OGR IT;140789;Sandoz
18;44078486;44076734;EXPO FLORMIDABIL MISTO 10OGR SA IT;140789;Sandoz;FLORMIDABIL ULTRA 10OGR IT;140789;Sandoz
19;44076740;44076740;FLORMIDABIL IMMUNO  50+30.6MG 10OGR IT;140822;Sandoz;FLORMIDABIL IMMUNO  50+30.6MG 10OGR IT;140822;Sandoz
20;44080548;44076740;FLORMIDABIL IMMUNO 50+30.6MG 10OGR SM IT;140822;Sandoz;FLORMIDABIL IMMUNO  50+30.6MG 10OGR IT;140822;Sandoz
21;44077385;44077385;FLORMIDABIL DAILY STICKS 10OGR SA IT;140864;Sandoz;FLORMIDABIL DAILY STICKS 10OGR SA IT;140864;Sandoz
22;44079608;44077385;FLORMIDABIL DAILY STICKS 10OGR SA SM IT;140864;Sandoz;FLORMIDABIL DAILY STICKS 10OGR SA IT;140864;Sandoz
23;44078469;44077385;EXPO FLORMIDABIL MONO 10OGR SA  IT;140864;Sandoz;FLORMIDABIL DAILY STICKS 10OGR SA IT;140864;Sandoz
24;44082733;44077385;FLORMIDABIL DAILY STICKS 10OGR SA V1 IT;140864;Sandoz;FLORMIDABIL DAILY STICKS 10OGR SA IT;140864;Sandoz
25;998975;44073175;TOPIRAMATE 200MG 60FCT BO IT;122669;Sandoz;RAMAS 200MG 60FCT BO IT;122669;Sandoz
26;44073175;44073175;RAMAS 200MG 60FCT BO IT;122669;Sandoz;RAMAS 200MG 60FCT BO IT;122669;Sandoz
27;44052962;44052962;ESOMEPRAZOLO SDZ 40MG 14GRC V1 IT;129685;Sandoz;ESOMEPRAZOLO SDZ 40MG 14GRC V1 IT;129685;Sandoz
28;44034148;44052962;ESOMEPRAZOLO SDZ 40MG 14GRC IT;129685;Sandoz;ESOMEPRAZOLO SDZ 40MG 14GRC V1 IT;129685;Sandoz
29;44052963;44052963;ESOMEPRAZOLO SDZ 20MG 14GRC V1 IT;129684;Sandoz;ESOMEPRAZOLO SDZ 20MG 14GRC V1 IT;129684;Sandoz
30;44034145;44052963;ESOMEPRAZOLO SDZ 20MG 14GRC IT;129684;Sandoz;ESOMEPRAZOLO SDZ 20MG 14GRC V1 IT;129684;Sandoz
31;44075567;44075567;DUTASTERIDE SDZ 0,5MG 30SGC IT;122753;Sandoz;DUTASTERIDE SDZ 0,5MG 30SGC IT;122753;Sandoz
32;44068066;44075567;DUTASTERIDE SDZ 500MCG 30SGC IT;122753;Sandoz;DUTASTERIDE SDZ 0,5MG 30SGC IT;122753;Sandoz
33;44080270;44082401;BORTEZOMIB SDZ 3.5MG 1LYVI IT;128631;Sandoz;BORTEZOMIB SDZ 3.5MG 1LYVI V1 IT;128631;Sandoz
34;44082401;44082401;BORTEZOMIB SDZ 3.5MG 1LYVI V1 IT;128631;Sandoz;BORTEZOMIB SDZ 3.5MG 1LYVI V1 IT;128631;Sandoz
35;44052332;44052332;ACIDO ACETILSALICILIC SDZ 100MG 30GRT IT;125123;Sandoz;ACIDO ACETILSALICILIC SDZ 100MG 30GRT IT;125123;Sandoz
36;44059201;44052332;ACIDO ACETILSALIC SDZ 100MG 30GRT V1 IT;125123;Sandoz;ACIDO ACETILSALICILIC SDZ 100MG 30GRT IT;125123;Sandoz
37;998973;44073156;TOPIRAMATO 50MG 60FCT BO IT;122667;Sandoz;RAMAS 50MG 60FCT BO IT;122667;Sandoz
38;44073156;44073156;RAMAS 50MG 60FCT BO IT;122667;Sandoz;RAMAS 50MG 60FCT BO IT;122667;Sandoz
39;44081535;44073156;RAMAS 50MG 60FCT BO SM IT;122667;Sandoz;RAMAS 50MG 60FCT BO IT;122667;Sandoz
40;999906;44074135;TAMSULOSINA SDZ 0,4MG 20PRCH IT;103287;Sandoz;TAMSULOSINA SDZ 400MCG 20MRCH IT;103287;Sandoz
41;44074135;44074135;TAMSULOSINA SDZ 400MCG 20MRCH IT;103287;Sandoz;TAMSULOSINA SDZ 400MCG 20MRCH IT;103287;Sandoz
42;44055951;44077152;OMEPRAZOLO HEX 20MG 14GRC V1 IT;110098;Hexal;OMEPRAZOLO HEX 20MG 14GRC V2 IT;110098;Hexal
43;44011180;44077152;OMEPRAZOLO HEX 20MG  14GRC IT;110098;Hexal;OMEPRAZOLO HEX 20MG 14GRC V2 IT;110098;Hexal
44;44077152;44077152;OMEPRAZOLO HEX 20MG 14GRC V2 IT;110098;Hexal;OMEPRAZOLO HEX 20MG 14GRC V2 IT;110098;Hexal
45;44056824;44077039;OMEPRAZOLO SDZ 20MG 14GRC V2 IT;110098;Sandoz;OMEPRAZOLO SDZ 20MG 14GRC V3 IT;110098;Sandoz
46;44016414;44077039;OMEPRAZOLO SDZ 20MG 14GRC SM IT;110098;Sandoz;OMEPRAZOLO SDZ 20MG 14GRC V3 IT;110098;Sandoz
47;44011190;44077039;OMEPRAZOLO SDZ 20MG 14GRC IT;110098;Sandoz;OMEPRAZOLO SDZ 20MG 14GRC V3 IT;110098;Sandoz
48;44077039;44077039;OMEPRAZOLO SDZ 20MG 14GRC V3 IT;110098;Sandoz;OMEPRAZOLO SDZ 20MG 14GRC V3 IT;110098;Sandoz
49;44045961;44077039;EGAPAL 20MG 14GRC IT;110098;Sandoz;OMEPRAZOLO SDZ 20MG 14GRC V3 IT;110098;Sandoz
50;44038974;44077039;OMEPRAZOLO SDZ 20MG 14GRC V1 IT;110098;Sandoz;OMEPRAZOLO SDZ 20MG 14GRC V3 IT;110098;Sandoz
51;44043344;44043344;ALENDRONATO SDZ 70MG 4TAB IT;101618;Sandoz;ALENDRONATO SDZ 70MG 4TAB IT;101618;Sandoz
52;610792;44043344;ALENDRONATO SDZ 70MG 4TAB IT;101618;Sandoz;ALENDRONATO SDZ 70MG 4TAB IT;101618;Sandoz
53;998972;44073167;TOPIRAMATE 25MG 60FCT BO IT;122666;Sandoz;RAMAS 25MG 60FCT BO IT;122666;Sandoz
54;44073167;44073167;RAMAS 25MG 60FCT BO IT;122666;Sandoz;RAMAS 25MG 60FCT BO IT;122666;Sandoz
55;998974;44073166;TOPIRAMATE 100MG 60FCT BO IT;122668;Sandoz;RAMAS 100MG 60FCT BO IT;122668;Sandoz
56;44073166;44073166;RAMAS 100MG 60FCT BO IT;122668;Sandoz;RAMAS 100MG 60FCT BO IT;122668;Sandoz
57;44074263;44074263;ZHEKORT 50MCG/1DOS 140DOS 1LSP IT;119679;Sandoz;ZHEKORT 50MCG/1DOS 140DOS 1LSP IT;119679;Sandoz
58;44039204;44074263;MOMETASONE F. SDZ 50MCG 140DOS LSP IT;119679;Sandoz;ZHEKORT 50MCG/1DOS 140DOS 1LSP IT;119679;Sandoz
59;44074343;44074263;ZHEKORT 50MCG/DOS 140DOS 1LSP SM IT;119679;Sandoz;ZHEKORT 50MCG/1DOS 140DOS 1LSP IT;119679;Sandoz
60;44074282;44074282;ZHEKORT 50MCG/1DOS 60DOS 1LSP IT;121262;Sandoz;ZHEKORT 50MCG/1DOS 60DOS 1LSP IT;121262;Sandoz
61;44039205;44074282;MOMETASONE F. SDZ 50MCG 60DOS LSP IT;121262;Sandoz;ZHEKORT 50MCG/1DOS 60DOS 1LSP IT;121262;Sandoz
62;44065280;44074282;MOMETASONE F. SDZ 50MCG 60DOS LSP SM IT;121262;Sandoz;ZHEKORT 50MCG/1DOS 60DOS 1LSP IT;121262;Sandoz
63;44074353;44074282;ZHEKORT 50MCG/DOS 60DOS 1LSP SM IT;121262;Sandoz;ZHEKORT 50MCG/1DOS 60DOS 1LSP IT;121262;Sandoz
